VOYAGEID,YEARAM,NATINIMP,MJBYPTIMP,MJSLPTIMP
252,1821,Portugal/Brazil,60822,50422
253,1821,Portugal/Brazil,60711,50422
254,1821,Portugal/Brazil,60711,50422
255,1821,Portugal/Brazil,60822,50422
256,1821,Portugal/Brazil,60822,50422
257,1821,Portugal/Brazil,60711,50422
258,1821,Portugal/Brazil,60734,50422
259,1821,Portugal/Brazil,60734,50422
260,1821,Portugal/Brazil,60820,50422
261,1821,Portugal/Brazil,60734,50422
262,1821,Portugal/Brazil,60899,50422
263,1821,Portugal/Brazil,60734,50422
265,1821,Portugal/Brazil,60610,50422
266,1821,Portugal/Brazil,60734,50422
267,1821,Portugal/Brazil,60734,50422
268,1821,Portugal/Brazil,60734,50422
269,1821,Portugal/Brazil,60707,50422
270,1821,Portugal/Brazil,60734,50422
271,1821,Portugal/Brazil,60734,50422
272,1821,Portugal/Brazil,60734,50422
273,1821,Portugal/Brazil,60734,50422
274,1821,Portugal/Brazil,60734,50422
275,1821,Portugal/Brazil,60707,50422
276,1821,Portugal/Brazil,60703,50422
277,1821,Portugal/Brazil,60734,50422
278,1821,Portugal/Brazil,60707,50422
279,1821,Portugal/Brazil,60734,50422
280,1821,Portugal/Brazil,60711,50422
281,1821,Portugal/Brazil,60734,50422
282,1821,Portugal/Brazil,60822,50422
283,1821,Portugal/Brazil,60820,50422
284,1821,Portugal/Brazil,60734,50422
285,1821,Portugal/Brazil,60999,50422
286,1821,Portugal/Brazil,60820,50422
287,1821,Portugal/Brazil,60734,50422
288,1822,Portugal/Brazil,60999,32240
289,1822,Portugal/Brazil,60820,50102
290,1822,Portugal/Brazil,60734,50102
291,1822,Portugal/Brazil,60717,50102
292,1822,Portugal/Brazil,60104,50102
293,1822,Portugal/Brazil,60734,50102
294,1822,Portugal/Brazil,60104,50102
295,1822,Portugal/Brazil,60725,50102
296,1823,Portugal/Brazil,60734,50422
297,1823,Portugal/Brazil,60820,50422
298,1823,Portugal/Brazil,60822,50422
299,1823,Portugal/Brazil,60707,50422
300,1823,Portugal/Brazil,60820,50422
301,1823,Portugal/Brazil,60822,50422
302,1823,Portugal/Brazil,60734,50422
303,1823,Portugal/Brazil,60711,50422
304,1823,Portugal/Brazil,60820,50422
305,1823,Portugal/Brazil,60820,50422
306,1823,Portugal/Brazil,60820,50422
307,1823,Portugal/Brazil,60822,50422
308,1823,Portugal/Brazil,60822,50422
309,1823,Portugal/Brazil,60822,50422
310,1823,Portugal/Brazil,60707,50422
311,1823,Portugal/Brazil,60711,50422
312,1823,Portugal/Brazil,60711,50422
313,1823,Portugal/Brazil,60734,50422
314,1823,Portugal/Brazil,60734,50422
315,1823,Portugal/Brazil,60820,50422
316,1823,Portugal/Brazil,60820,50422
317,1823,Portugal/Brazil,60734,50422
318,1823,Portugal/Brazil,60734,50422
319,1823,Portugal/Brazil,60734,50422
320,1823,Portugal/Brazil,60711,50422
321,1823,Portugal/Brazil,60734,50422
322,1823,Portugal/Brazil,60707,50422
323,1823,Portugal/Brazil,60703,50422
324,1823,Portugal/Brazil,60703,50422
325,1823,Portugal/Brazil,60734,50422
326,1823,Portugal/Brazil,60610,50422
327,1823,Portugal/Brazil,60734,50422
328,1823,Portugal/Brazil,60734,50422
329,1823,Portugal/Brazil,60707,50422
330,1823,Portugal/Brazil,60734,50422
331,1823,Portugal/Brazil,60822,50422
332,1823,Portugal/Brazil,60820,50422
333,1823,Portugal/Brazil,60703,50422
334,1823,Portugal/Brazil,60734,50422
335,1823,Portugal/Brazil,60707,50422
336,1823,Portugal/Brazil,60734,50422
337,1823,Spain/Uruguay,60999,31312
338,1822,France,60106,31312
339,1822,Spain/Uruguay,60999,31312
340,1822,Portugal/Brazil,60999,31312
341,1822,France,60605,31312
342,1822,France,60208,31312
343,1822,France,60208,31312
344,1822,France,60999,31312
345,1822,France,60208,31399
346,1822,Spain/Uruguay,60999,31312
347,1822,Portugal/Brazil,60999,31312
348,1823,France,60673,31312
349,1823,Spain/Uruguay,60999,31312
350,1823,Spain/Uruguay,60999,31312
351,1823,Spain/Uruguay,60999,31312
352,1824,France,60999,31312
353,1824,France,60673,31312
354,1824,Spain/Uruguay,60999,31312
355,1824,Spain/Uruguay,60999,31312
356,1824,Spain/Uruguay,60999,31312
357,1824,Spain/Uruguay,60999,31312
358,1824,Spain/Uruguay,60999,31312
359,1824,Spain/Uruguay,60999,31312
360,1824,Spain/Uruguay,60999,31312
361,1824,Spain/Uruguay,60999,31312
362,1824,Spain/Uruguay,60999,31312
363,1824,Spain/Uruguay,60999,31312
364,1824,Spain/Uruguay,60515,31312
365,1824,Spain/Uruguay,60999,31312
366,1824,Spain/Uruguay,60999,31312
367,1824,France,60673,31312
368,1824,Spain/Uruguay,60811,31312
369,1823,Portugal/Brazil,60711,50299
370,1823,Portugal/Brazil,60515,50299
371,1823,Portugal/Brazil,60820,50299
372,1823,Portugal/Brazil,60725,50299
373,1823,Portugal/Brazil,60711,50299
374,1823,Portugal/Brazil,60711,50299
375,1823,Portugal/Brazil,60711,50299
376,1823,Portugal/Brazil,60711,50299
377,1823,Portugal/Brazil,60734,50102
378,1823,Portugal/Brazil,60734,50102
379,1823,Portugal/Brazil,60126,50102
380,1823,Portugal/Brazil,60725,50102
381,1823,Portugal/Brazil,60104,50102
382,1824,Portugal/Brazil,60707,50422
383,1824,Portugal/Brazil,60820,50422
384,1824,Portugal/Brazil,60711,50422
385,1824,Portugal/Brazil,60822,50422
386,1824,Portugal/Brazil,60820,50422
387,1824,Portugal/Brazil,60703,50422
388,1824,Portugal/Brazil,60734,50422
389,1824,Portugal/Brazil,60707,50422
390,1824,Portugal/Brazil,60707,50422
391,1824,Portugal/Brazil,60822,50422
392,1824,Portugal/Brazil,60734,50422
393,1824,Portugal/Brazil,60822,50422
394,1824,Portugal/Brazil,60822,50422
395,1824,Portugal/Brazil,60822,50422
396,1824,Portugal/Brazil,60711,50422
397,1824,Portugal/Brazil,60822,50422
398,1824,Portugal/Brazil,60707,50422
399,1824,Portugal/Brazil,60820,50422
400,1824,Portugal/Brazil,60734,50422
401,1824,Portugal/Brazil,60734,50422
402,1824,Portugal/Brazil,60822,50422
403,1824,Portugal/Brazil,60820,50422
404,1824,Portugal/Brazil,60822,50422
405,1824,Portugal/Brazil,60734,50422
406,1824,Portugal/Brazil,60703,50422
407,1824,Portugal/Brazil,60703,50422
408,1824,Portugal/Brazil,60711,50422
409,1824,Portugal/Brazil,60711,50422
410,1824,Portugal/Brazil,60711,50422
411,1824,Portugal/Brazil,60734,50422
412,1824,Portugal/Brazil,60734,50422
413,1824,Portugal/Brazil,60707,50422
414,1824,Portugal/Brazil,60734,50422
415,1824,Portugal/Brazil,60734,50422
416,1824,Portugal/Brazil,60707,50422
417,1824,Portugal/Brazil,60734,50422
418,1824,Portugal/Brazil,60734,50422
419,1824,Portugal/Brazil,60734,50422
420,1824,Portugal/Brazil,60711,50422
421,1824,Portugal/Brazil,60703,50422
422,1824,Portugal/Brazil,60703,50422
423,1824,Portugal/Brazil,60711,50422
424,1824,Portugal/Brazil,60734,50422
425,1824,Portugal/Brazil,60703,50422
426,1824,Portugal/Brazil,60703,50422
427,1824,Portugal/Brazil,60734,50422
428,1824,Portugal/Brazil,60734,50422
429,1824,Portugal/Brazil,60703,50422
430,1824,Portugal/Brazil,60707,50422
431,1824,Portugal/Brazil,60734,50422
432,1824,Portugal/Brazil,60734,50422
433,1824,Portugal/Brazil,60711,50422
434,1824,Portugal/Brazil,60707,50422
435,1824,Portugal/Brazil,60734,50422
436,1824,Portugal/Brazil,60703,50422
437,1824,Portugal/Brazil,60820,50422
438,1824,Portugal/Brazil,60703,50422
439,1824,Portugal/Brazil,60707,50422
440,1824,Portugal/Brazil,60711,50422
441,1824,Portugal/Brazil,60711,50422
442,1824,Portugal/Brazil,60734,50422
443,1825,Spain/Uruguay,60515,31303
444,1825,Spain/Uruguay,60999,31303
445,1825,Spain/Uruguay,60673,31316
446,1825,Spain/Uruguay,60999,31312
447,1825,Spain/Uruguay,60999,31312
448,1825,France,60605,31312
449,1825,Spain/Uruguay,60999,31312
450,1825,Spain/Uruguay,60999,31308
451,1825,Spain/Uruguay,60999,31399
452,1825,France,60624,31312
453,1825,Spain/Uruguay,60999,31399
454,1825,France,60999,31399
455,1825,Spain/Uruguay,60999,31312
456,1825,Spain/Uruguay,60999,31399
457,1825,Spain/Uruguay,60999,31399
458,1825,Spain/Uruguay,60999,31399
459,1825,Spain/Uruguay,60599,31312
460,1825,France,60673,31312
461,1825,Spain/Uruguay,60673,31399
462,1825,Spain/Uruguay,60999,31399
463,1825,Spain/Uruguay,60999,31399
464,1825,Spain/Uruguay,60999,31399
465,1825,France,60605,31399
466,1825,Spain/Uruguay,60999,31308
467,1825,Spain/Uruguay,60999,31308
468,1825,Spain/Uruguay,60999,31308
469,1825,Spain/Uruguay,60999,31308
470,1825,Spain/Uruguay,60999,31308
471,1825,Spain/Uruguay,60999,31308
472,1825,Spain/Uruguay,60999,31308
473,1825,Spain/Uruguay,60999,31308
474,1825,Spain/Uruguay,60999,31308
475,1825,Spain/Uruguay,60999,31324
476,1824,Portugal/Brazil,60725,50299
477,1824,Portugal/Brazil,60725,50299
478,1824,Portugal/Brazil,60731,50299
479,1824,Portugal/Brazil,60725,50299
480,1824,Portugal/Brazil,60725,50299
481,1824,Portugal/Brazil,60725,50299
482,1824,Portugal/Brazil,60725,50299
483,1824,Portugal/Brazil,60725,50399
484,1824,Portugal/Brazil,60725,50299
485,1824,Portugal/Brazil,60725,50299
486,1824,Portugal/Brazil,60725,50299
487,1824,Portugal/Brazil,60515,50299
488,1824,Portugal/Brazil,60725,50299
489,1825,Portugal/Brazil,60515,50299
490,1825,Portugal/Brazil,60725,50299
491,1825,Portugal/Brazil,60725,50299
492,1825,Portugal/Brazil,60725,50299
493,1825,Portugal/Brazil,60725,50299
494,1825,Portugal/Brazil,60725,50299
495,1825,Portugal/Brazil,60725,50299
496,1825,Portugal/Brazil,60820,50422
497,1825,Portugal/Brazil,60820,50422
498,1825,Portugal/Brazil,60822,50422
499,1825,Portugal/Brazil,60820,50422
500,1825,Portugal/Brazil,60711,50422
501,1825,Portugal/Brazil,60820,50422
502,1825,Portugal/Brazil,60734,50422
503,1825,Portugal/Brazil,60707,50422
504,1825,Portugal/Brazil,60820,50422
505,1825,Portugal/Brazil,60820,50422
506,1825,Portugal/Brazil,60822,50422
507,1825,Portugal/Brazil,60703,50422
508,1825,Portugal/Brazil,60822,50422
509,1825,Portugal/Brazil,60734,50422
510,1825,Portugal/Brazil,60822,50422
511,1825,Portugal/Brazil,60711,50422
512,1825,Portugal/Brazil,60734,50422
513,1825,Portugal/Brazil,60822,50422
514,1825,Portugal/Brazil,60734,50422
515,1825,Portugal/Brazil,60822,50422
516,1825,Portugal/Brazil,60703,50422
517,1825,Portugal/Brazil,60707,50422
518,1825,Portugal/Brazil,60820,50422
519,1825,Portugal/Brazil,60734,50422
520,1825,Portugal/Brazil,60734,50422
521,1825,Portugal/Brazil,60707,50422
522,1825,Portugal/Brazil,60822,50422
523,1825,Portugal/Brazil,60711,50422
524,1825,Portugal/Brazil,60734,50422
525,1825,Portugal/Brazil,60703,50422
526,1825,Portugal/Brazil,60711,50422
527,1825,Portugal/Brazil,60822,50422
528,1825,Portugal/Brazil,60734,50422
529,1825,Portugal/Brazil,60725,50422
530,1825,Portugal/Brazil,60734,50422
531,1825,Portugal/Brazil,60734,50422
532,1825,Portugal/Brazil,60734,50422
533,1825,Portugal/Brazil,60725,50422
534,1825,Portugal/Brazil,60703,50422
535,1825,Portugal/Brazil,60734,50422
536,1825,Portugal/Brazil,60734,50422
537,1825,Portugal/Brazil,60703,50422
538,1825,Portugal/Brazil,60734,50422
539,1825,Portugal/Brazil,60711,50422
540,1825,Portugal/Brazil,60734,50422
541,1825,Portugal/Brazil,60707,50422
542,1825,Portugal/Brazil,60711,50422
543,1825,Portugal/Brazil,60734,50422
544,1825,Portugal/Brazil,60734,50422
545,1825,Portugal/Brazil,60734,50422
546,1825,Portugal/Brazil,60707,50422
547,1825,Portugal/Brazil,60717,50422
548,1825,Portugal/Brazil,60707,50422
549,1825,Portugal/Brazil,60711,42001
550,1825,Portugal/Brazil,60711,50422
551,1825,Portugal/Brazil,60820,50422
552,1825,Portugal/Brazil,60707,50422
553,1825,Portugal/Brazil,60820,50422
554,1824,France,60217,31323
555,1826,Spain/Uruguay,60999,31303
556,1826,Spain/Uruguay,60999,31308
557,1826,Spain/Uruguay,60515,31399
558,1826,Spain/Uruguay,60306,31399
559,1826,Spain/Uruguay,60999,31316
560,1826,Spain/Uruguay,60673,31312
561,1826,Spain/Uruguay,60608,31399
562,1826,Spain/Uruguay,60999,31309
563,1826,Spain/Uruguay,60673,31301
564,1823,Portugal/Brazil,60822,50422
565,1825,Portugal/Brazil,60725,50299
566,1825,Portugal/Brazil,60703,50299
567,1825,Portugal/Brazil,60725,50299
569,1825,Portugal/Brazil,60725,50299
570,1825,Portugal/Brazil,60703,50299
571,1825,Portugal/Brazil,60725,50299
572,1825,Portugal/Brazil,60725,50299
573,1825,Portugal/Brazil,60725,50299
574,1825,Portugal/Brazil,60725,50299
575,1826,Portugal/Brazil,60734,50422
576,1826,Portugal/Brazil,60703,50299
577,1826,Portugal/Brazil,60515,50299
578,1826,Portugal/Brazil,60725,50299
579,1826,Portugal/Brazil,60734,50299
580,1826,Portugal/Brazil,60703,50299
581,1826,Portugal/Brazil,60725,50299
582,1826,Portugal/Brazil,60725,50299
583,1826,Portugal/Brazil,60725,50299
584,1826,Portugal/Brazil,60725,50299
585,1826,Portugal/Brazil,60725,50299
586,1826,Portugal/Brazil,60515,50299
587,1826,Portugal/Brazil,60725,50299
588,1826,Portugal/Brazil,60725,50299
589,1826,Portugal/Brazil,60703,50422
590,1826,Portugal/Brazil,60703,50422
591,1826,Portugal/Brazil,60734,50422
592,1826,Portugal/Brazil,60105,50102
593,1826,Portugal/Brazil,60199,50102
594,1826,Portugal/Brazil,60999,50103
595,1826,Spain/Uruguay,60208,31399
596,1826,Spain/Uruguay,60999,31399
597,1827,Spain/Uruguay,60999,31301
598,1827,Spain/Uruguay,60673,31312
599,1827,Spain/Uruguay,60999,31308
600,1827,Spain/Uruguay,60999,31399
601,1827,Spain/Uruguay,60999,31399
602,1827,Spain/Uruguay,60999,31399
603,1827,Spain/Uruguay,60999,31399
604,1827,Spain/Uruguay,60208,31302
605,1827,Portugal/Brazil,60703,50422
606,1827,Portugal/Brazil,60703,50422
607,1827,Portugal/Brazil,60734,50422
608,1827,Portugal/Brazil,60734,50422
609,1827,Portugal/Brazil,60703,50422
610,1827,Portugal/Brazil,60711,50422
611,1827,Portugal/Brazil,60734,50422
612,1827,Portugal/Brazil,60820,50422
613,1827,Portugal/Brazil,60822,50422
614,1827,Portugal/Brazil,60711,50422
615,1827,Portugal/Brazil,60822,50422
616,1823,Portugal/Brazil,60822,50422
617,1827,Portugal/Brazil,60711,50422
618,1827,Portugal/Brazil,60725,50422
619,1827,Portugal/Brazil,60707,50422
620,1827,Portugal/Brazil,60707,50422
621,1827,Portugal/Brazil,60707,50422
622,1827,Portugal/Brazil,60822,50422
623,1827,Portugal/Brazil,60820,50422
624,1827,Portugal/Brazil,60717,50422
625,1827,Portugal/Brazil,60734,50422
626,1827,Portugal/Brazil,60711,50422
627,1827,Portugal/Brazil,60820,50422
628,1827,Portugal/Brazil,60707,50422
629,1827,Portugal/Brazil,60725,50422
630,1827,Portugal/Brazil,60703,50422
631,1827,Portugal/Brazil,60703,50422
632,1827,Portugal/Brazil,60707,50422
633,1827,Portugal/Brazil,60734,50422
634,1827,Portugal/Brazil,60711,50422
635,1827,Portugal/Brazil,60711,50422
636,1827,Portugal/Brazil,60915,50299
637,1827,Portugal/Brazil,60725,50299
638,1827,Portugal/Brazil,60725,50299
639,1827,Portugal/Brazil,60517,50299
641,1827,Portugal/Brazil,60725,50299
642,1827,Portugal/Brazil,60599,50299
643,1827,Portugal/Brazil,60725,50299
644,1827,Portugal/Brazil,60725,50299
645,1827,U.S.A.,60599,50299
646,1827,Portugal/Brazil,60734,50299
647,1827,Portugal/Brazil,60299,50299
648,1827,Portugal/Brazil,60734,50299
649,1827,Portugal/Brazil,60725,50299
650,1827,Portugal/Brazil,60711,50299
651,1827,Portugal/Brazil,60711,50299
652,1827,Spain/Uruguay,60999,31316
653,1827,Spain/Uruguay,60999,31399
654,1827,Spain/Uruguay,60999,31399
655,1827,Spain/Uruguay,60673,31308
656,1828,Spain/Uruguay,60999,31312
657,1828,Spain/Uruguay,60673,31312
658,1828,Spain/Uruguay,60999,31399
659,1828,Spain/Uruguay,60673,31399
660,1828,Spain/Uruguay,60605,31302
661,1828,Spain/Uruguay,60999,31399
662,1828,Spain/Uruguay,60999,31399
663,1828,Spain/Uruguay,60999,31399
664,1828,Spain/Uruguay,60605,31399
665,1828,Spain/Uruguay,60999,31312
666,1828,Spain/Uruguay,60999,31312
667,1828,Spain/Uruguay,60673,31312
668,1828,Spain/Uruguay,60605,31399
669,1828,Spain/Uruguay,60999,31399
670,1828,Spain/Uruguay,60599,31399
671,1828,Spain/Uruguay,60673,31399
672,1828,Spain/Uruguay,60515,31399
673,1828,Spain/Uruguay,60673,31312
674,1827,Portugal/Brazil,60703,50422
675,1827,Portugal/Brazil,60711,50422
