cve_inegi	state	municipality	year	aggr_sum	aggr_dummy	cvmr1000	menfeje1000	juxt1	juxt2	juxt3	juxt4	juxt5	juxt6	juxt7	juxt8	juxt9	juxtaposition	juxt_cvm	elect_local	elec_cvm	elect_fed	lag_neightotal	perc_tax	mpoff1000	alternancia_mun	alternancia_st	enp_mun	enp_st	center	northcenter	north	gulf	pacific	southeast	southwest
1011	"Aguascalientes"	"San Francisco de los Romo"	2009	0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0	0.0	7.45587	0.0	1	0	2.49612	2.17842	0	1	0	0	0	0	0
1011	"Aguascalientes"	"San Francisco de los Romo"	2010	0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	0	1.0	0.0	1.0	0.0	0	0.0	10.2734	0.0	1	0	2.49612	2.17842	0	1	0	0	0	0	0
1011	"Aguascalientes"	"San Francisco de los Romo"	2011	0	0.0	0.0	0.0	0	0	0	0	1	0	0	0	0	4.0	0.0	0.0	0.0	0	0.0	8.11111	0.0	1	1	1.7406	2.31821	0	1	0	0	0	0	0
1011	"Aguascalientes"	"San Francisco de los Romo"	2012	0	0.0	0.0		0	0	0	0	1	0	0	0	0	4.0	0.0	0.0	0.0	1	0.0	10.1239	0.0	1	1	1.7406	2.31821	0	1	0	0	0	0	0
2001	"Baja California"	"Ensenada"	2007	0	0.0	0.011519649	0.013823579	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.011519649	0	3.0	21.7632	0.039166808	0	0	2.52267	2.51037	0	0	1	0	0	0	0
2001	"Baja California"	"Ensenada"	2008	0	0.0	0.03373053	0.06970976	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	1.0	22.6055	0.038227934	0	0	2.18161	2.19792	0	0	1	0	0	0	0
2001	"Baja California"	"Ensenada"	2009	0	0.0	0.0065843766	0.035116676	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	21.1087	0.03731147	0	0	2.18161	2.19792	0	0	1	0	0	0	0
2001	"Baja California"	"Ensenada"	2010	1	1.0	0.0	0.034274895	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0	1.0	18.0081	0.03213271	0	0	2.18161	2.19792	0	0	1	0	0	0	0
2001	"Baja California"	"Ensenada"	2011	0	0.0	0.00209083	0.025089959	0	1	0	0	0	0	0	0	0	1.0	0.00209083	0.0	0.0	0	0.0	17.3594	0.03554411	1	0	2.01768	2.19792	0	0	1	0	0	0	0
2001	"Baja California"	"Ensenada"	2012	0	0.0	0.0		0	1	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1	0.0	17.0622	0.02244779	1	0	2.01768	2.19792	0	0	1	0	0	0	0
2002	"Baja California"	"Mexicali"	2007	0	0.0	0.009014755	0.020283198	0	1	0	0	0	0	0	0	0	1.0	0.009014755	1.0	0.009014755	0	0.0	21.3175	0.022536887	1	0	2.2857	2.51037	0	0	1	0	0	0	0
2002	"Baja California"	"Mexicali"	2008	0	0.0	0.02766705	0.043160595	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	25.581	0.02213364	1	0	1.92173	2.19792	0	0	1	0	0	0	0
2002	"Baja California"	"Mexicali"	2009	0	0.0	0.009781928	0.040214594	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	19.7129	0.021737618	1	0	1.92173	2.19792	0	0	1	0	0	0	0
2002	"Baja California"	"Mexicali"	2010	0	0.0	0.0053371703	0.030955588	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0053371703	0	0.0	17.675	0.02348355	1	0	1.92173	2.19792	0	0	1	0	0	0	0
2002	"Baja California"	"Mexicali"	2011	0	0.0	0.0073383492	0.046126768	0	1	0	0	0	0	0	0	0	1.0	0.0073383492	0.0	0.0	0	1.0	14.0253	0.023063384	1	0	2.32398	2.19792	0	0	1	0	0	0	0
2002	"Baja California"	"Mexicali"	2012	0	0.0	0.0061774664		0	1	0	0	0	0	0	0	0	1.0	0.0061774664	0.0	0.0	1	0.0	17.4265	0.023680288	1	0	2.32398	2.19792	0	0	1	0	0	0	0
2003	"Baja California"	"Tecate"	2007	0	0.0	0.052672606	0.042138085	0	1	0	0	0	0	0	0	0	1.0	0.052672606	1.0	0.052672606	0	3.0	15.5519	0.031603564	0	0	2.12157	2.51037	0	0	1	0	0	0	0
2003	"Baja California"	"Tecate"	2008	0	0.0	0.092846684	0.26822373	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	1.0	16.4207	0.030948894	1	0	2.13061	2.19792	0	0	1	0	0	0	0
2003	"Baja California"	"Tecate"	2009	0	0.0	0.010102541	0.1717432	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	15.636	0.020205082	1	0	2.13061	2.19792	0	0	1	0	0	0	0
2003	"Baja California"	"Tecate"	2010	0	0.0	0.0	0.049466256	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0	1.0	15.7759	0.019786503	1	0	2.13061	2.19792	0	0	1	0	0	0	0
2003	"Baja California"	"Tecate"	2011	0	0.0	0.019376652	0.12594824	0	1	0	0	0	0	0	0	0	1.0	0.019376652	0.0	0.0	0	1.0	14.757	0.04844163	1	0	1.52456	2.19792	0	0	1	0	0	0	0
2003	"Baja California"	"Tecate"	2012	0	0.0	0.0		0	1	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1	0.0	12.4844	0.037950303	1	0	1.52456	2.19792	0	0	1	0	0	0	0
2004	"Baja California"	"Tijuana"	2007	1	1.0	0.071333334	0.11733333	0	1	0	0	0	0	0	0	0	1.0	0.071333334	1.0	0.071333334	0	0.0	22.4135	0.011333333	1	0	2.08955	2.51037	0	0	1	0	0	0	0
2004	"Baja California"	"Tijuana"	2008	0	0.0	0.26333332	0.40266666	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	23.401	0.011333333	1	0	2.07121	2.19792	0	0	1	0	0	0	0
2004	"Baja California"	"Tijuana"	2009	1	1.0	0.08733334	0.25933334	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	19.9078	0.011333333	1	0	2.07121	2.19792	0	0	1	0	0	0	0
2004	"Baja California"	"Tijuana"	2010	0	0.0	0.086875	0.295	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.086875	0	0.0	16.6238	0.006875	1	0	2.07121	2.19792	0	0	1	0	0	0	0
2004	"Baja California"	"Tijuana"	2011	0	0.0	0.019375	0.1275	0	1	0	0	0	0	0	0	0	1.0	0.019375	0.0	0.0	0	1.0	11.918	0.0075	1	0	2.10135	2.19792	0	0	1	0	0	0	0
2004	"Baja California"	"Tijuana"	2012	0	0.0	0.01		0	1	0	0	0	0	0	0	0	1.0	0.01	0.0	0.0	1	0.0		0.01125	1	0	2.10135	2.19792	0	0	1	0	0	0	0
2005	"Baja California"	"Playas de Rosarito"	2007	0	0.0	0.025059203	0.037588805	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.025059203	0	3.0	32.8248	0.012529601	0	0	2.34081	2.51037	0	0	1	0	0	0	0
2005	"Baja California"	"Playas de Rosarito"	2008	0	0.0	0.50434095	0.8285601	0	1	0	0	0	0	0	0	0	1.0	0.50434095	0.0	0.0	0	1.0	29.5844	0.024016235	1	0	1.5813	2.19792	0	0	1	0	0	0	0
2005	"Baja California"	"Playas de Rosarito"	2009	0	0.0	0.057541374	0.11508275	0	1	0	0	0	0	0	0	0	1.0	0.057541374	0.0	0.0	0	0.0	31.9928	0.02301655	1	0	1.5813	2.19792	0	0	1	0	0	0	0
2005	"Baja California"	"Playas de Rosarito"	2010	0	0.0	0.0	0.16543874	0	1	0	0	0	0	0	0	0	1.0	0.0	1.0	0.0	0	1.0	14.4995	0.01102925	1	0	1.5813	2.19792	0	0	1	0	0	0	0
2005	"Baja California"	"Playas de Rosarito"	2011	0	0.0	0.010570154	0.30653447	0	1	0	0	0	0	0	0	0	1.0	0.010570154	0.0	0.0	0	1.0	20.2038	0.021140307	0	0	1.9238	2.19792	0	0	1	0	0	0	0
2005	"Baja California"	"Playas de Rosarito"	2012	0	0.0	0.0		0	1	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	1	0.0	22.3612	0.03039052	0	0	1.9238	2.19792	0	0	1	0	0	0	0
3001	"Baja California Sur"	"Comond��"	2007	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	1	8.0	0.0	0.0	0.0	0	0.0	5.71835	0.090174034	0	0	2.74595	2.83156	0	0	1	0	0	0	0
