Frazione/Località,Numero,Insegna,Indirizzo,Note,Comune,Cap,Civico,Categorie
,489,RISTORANTE HOTEL DOLOMITI,Via Dolomites,,Canazei,38032,80,"['RISTORANTE', 'HOTEL']"
,490,BAR GARNÌ INTERNATIONAL,Streda Dolomites,,Canazei,38032,193,['BAR']
,491,PROFUMERIA COSTA,Piazza G. Marconi,,Canazei,38032,21,[]
,492,BAR GARNÌ STELLA ALPINA,Streda do Ruf de Antermont,,Canazei,38032,6,['BAR']
,493,BAR RISTORANTE HOTEL CROCE BIANCA,Via Streda Roma,,Canazei,38032,3,"['BAR', 'RISTORANTE', 'HOTEL']"
,494,BAR RISTORANTE HOTEL VILLA ROSA,Streda Dolomites,,Campitello di Fassa,38032,87,"['BAR', 'RISTORANTE', 'HOTEL']"
,495,RISTORANTE SPORT HOTEL ENROSADIRA,Streda de Morandin,,Campitello di Fassa,38032,43,"['RISTORANTE', 'HOTEL', 'SPORT']"
,496,BAR RISTORANTE HOTEL RODODENDRO,Streda Dolomites,,Campitello di Fassa,38032,45,"['BAR', 'RISTORANTE', 'HOTEL']"
,497,BAR AGNELLO,Piazza Centrale,,Campitello di Fassa,38032,,['BAR']
,498,FAMIGLIA COOPERATIVA CAMPITELLO DI FASSA,Streda Dolomites,,Campitello di Fassa,38032,87,[]
,499,BAR RISTORANTE HOTEL MIRAMONTI,Via Mazzini Loc. Crosano,,Brentonico,38060,97,"['BAR', 'RISTORANTE', 'HOTEL']"
,500,BAR RISTORANTE ALBERGO NENI,Via Garibaldi,,Brentonico,38060,2,"['BAR', 'RISTORANTE', 'ALBERGO']"
,501,BAR RISTORANTE ALBERGO ZENI,Via Roma,,Brentonico,38060,16,"['BAR', 'RISTORANTE', 'ALBERGO']"
San Giacomo,502,RISTORANTE HOTEL S. GIACOMO,Via Borani Salvotti,,Brentonico,38060,2,"['RISTORANTE', 'HOTEL']"
,503,PANIFICIO TOGNI,Via Roma,,Brentonico,38060,14,['PANIFICIO']
Santa Caterina,504,PIZZERIA LA PINETA,,,Brentonico,38060,1,['PIZZERIA']
,505,SAV FORMAGGI,Piazza Generale Dalla Chiesa,,Brentonico,38060,25,[]
,506,TABACCHERIA RIGO,Via Roma,,Brentonico,38060,22,[]
,507,PASSERINI CALZATURE,Via Fabio Filzi,,Brentonico,38060,19/a,['CALZATURE']
,508,ALIMENTARI ANDREOLLI,Via Roma,,Brentonico,38060,5,['ALIMENTARI']
Castione,509,ALIMENTARI CANALI,Via Clemente,,Brentonico,38060,1,['ALIMENTARI']
,510,BAR COMMERCIO,Via Roma,,Brentonico,38060,49,['BAR']
,511,FAMIGLIA COOPERATIVA BRENTONICO,Via Roberti,,Brentonico,38060,3,[]
Crosano,512,FAMIGLIA COOPERATIVA CROSANO,Via Mazzini,,Brentonico,38060,1,[]
Cornè,513,FAMIGLIA COOPERATIVA CORNÈ,Via 3 Novembre,,Brentonico,38060,47,[]
,514,BAR IL BUNKER,Via Prof. Vanzetta,,Ziano di Fiemme,38030,,['BAR']
,515,RISTORANTE HOTEL AL PONTE,Via Alpini,,Villa Lagarina,38060,28,"['RISTORANTE', 'HOTEL']"
Lago di Cei,516,BAR RISTORANTE ALBERGO LAGO DI CEI,,,Villa Lagarina,38060,1,"['BAR', 'RISTORANTE', 'ALBERGO']"
,517,BAR ROMA,Via XXV Aprile,,Villa Lagarina,38060,10,['BAR']
,518,FARMACIA DE PROBIZER,Via XXV Aprile,,Villa Lagarina,38060,28,['FARMACIA']
,519,FAMIGLIA COOPERATIVA DI CASTELLANO,Via del Torchio,,Villa Lagarina,38060,64,[]
,520,FAMIGLIA COOPERATIVA DI PEDERSANO,Via Sant’Antonio,,Villa Lagarina,38060,,[]
,521,FAMIGLIA COOPERATIVA VILLA LAGARINA,Via XXV Aprile,,Villa Lagarina,38060,50,[]
,522,TESINO MARKET,Via Brigata Abruzzi,,Pieve Tesino,38050,4,[]
,523,BAR CENTRALE,Piazza Garibaldi,,Pieve Tesino,38050,4,['BAR']
,524,PUNTO ROSSO ALIMENTARI,Piazza Garibaldi,,Pieve Tesino,38050,2,['ALIMENTARI']
Madonna della Neve / Valdomenegal,525,BAR RISTORANTE ALBERGO ALPINO,,,Avio,38063,,"['BAR', 'RISTORANTE', 'ALBERGO']"
,526,BAR NUOVO,Viale Alcide De Gasperi,,Avio,38063,13,['BAR']
,527,CASEIFICIO SOCIALE SABBIONARA,Via Vignola,,Avio,38063,25,[]
,528,RIVENDITA FUMANELLI GEDEONE,Piazza Conciliazione,,Avio,38063,17,[]
,529,PANIFICIO SEGA DIEGO,Via Regina Elena,,Avio,38063,18,['PANIFICIO']
,530,FAMIGLIA COOPERATIVA AVIO,Piazza Roma,,Avio,38063,5,[]
,531,BAR SPORT,Via Venezia,,Avio,38063,75,"['BAR', 'SPORT']"
,532,BAR TRATTORIA ALLA STAZIONE,Via General Cantore,,Avio,38063,41,['BAR']
,533,CADEN CARLO ABBIGLIAMENTO,Via Regina Elena,,Avio,38063,12,[]
,534,CADEN TENDAGGI,Via Teatro,,Avio,38063,5,[]
,535,CONFEZIONI DA IDA,Via S. Antonio,,Avio,38063,28,[]
Borghetto,536,BAR RISTORANTE ALBERGO MONTE BALDO,,,Avio,38063,,"['BAR', 'RISTORANTE', 'ALBERGO']"
Madonna della Neve / Valdomenegal,537,RIFUGIO ESCURSIONISTICO MONTE BALDO,,,Avio,38063,,[]
,538,FARMACIA COOPERATIVA,Piazza Roma,,Avio,38063,4,['FARMACIA']
,539,FALEGNAMERIA MABBONI,Viale Alcide De Gasperi,,Avio,38063,82,[]
,540,DELIZIE WELPONER,Via F.lli Bronzetti,,Cavalese,38033,27,[]
,541,FARMACIA BONI,Viale Dante,,Tione di Trento,38079,42,['FARMACIA']
,542,PANIFICIO MODERNO,Via Al Ponte,,Isera,38060,10,['PANIFICIO']
,543,FAMIGLIA COOPERATIVA DI ISERA,Piazza San Vincenzo,,Isera,38060,10,[]
Tonadico,544,RISTORANTE BAR HOTEL TRESSANE,Via Roma,,Primiero San Martino di Castrozza,38054,30,"['BAR', 'RISTORANTE', 'HOTEL']"
Tonadico,545,RISTORANTE PARK HOTEL IRIS,Via Roma,,Primiero San Martino di Castrozza,38054,26,"['RISTORANTE', 'HOTEL']"
Tonadico,546,RISTORANTE HOTEL PRIMIERO,Via Roma,,Primiero San Martino di Castrozza,38054,8,"['RISTORANTE', 'HOTEL']"
Tonadico,547,IL NEGOZIO DEL PANE,Via Roma,,Primiero San Martino di Castrozza,38054,2,[]
Tonadico,548,PANIFICIO CENTRALE DI PRIMIERO,Via Roma,,Primiero San Martino di Castrozza,38054,2,['PANIFICIO']
Tonadico,549,BAR ALBERGO TRE PONTI,Via Sorelle Lucian,,Primiero San Martino di Castrozza,38054,5,"['BAR', 'ALBERGO']"
Tonadico,550,RISTORANTE BAR LANTERNA VERDE,Via Roma,,Primiero San Martino di Castrozza,38054,8,"['BAR', 'RISTORANTE']"
Tonadico,551,EDICOLA BAZAR TABACCHI,Via Scopoli,,Primiero San Martino di Castrozza,38054,43,"['TABACCHI', 'BAZAR']"
Tonadico,552,BAR CENTRALE,Via Scopoli,,Primiero San Martino di Castrozza,38054,37,['BAR']
Tonadico,553,NON SOLO PANE,Via Card. Bernardin,,Primiero San Martino di Castrozza,38054,2,[]
Tonadico,554,FAMIGLIA COOPERATIVA DI TONADICO,Via Scopoli,,Primiero San Martino di Castrozza,38054,40,[]
,555,OREFICERIA OROLOGERIA MULLER,Piazza San Giorgio,,Castello Tesino,38053,3,[]
,556,FARMACIA RIGONI,Via Dante,,Castello Tesino,38053,12/A,['FARMACIA']
,557,BAR PIZZERIA CROSARA,Piazza San Giorgio,,Castello Tesino,38053,8,"['BAR', 'PIZZERIA']"
,558,BAR ROMA,Piazza San Giorgio,,Castello Tesino,38053,5,['BAR']
,559,FAMIGLIA COOPERATIVA DI CASTELLO TESINO,Via Donato Pelloso,,Castello Tesino,38053,13/A,[]
,560,BAR ORATORIO,Via Venezia,,Castello Tesino,38053,18,['BAR']
Passo Brocon,561,RISTORANTE BAR ALBERGO PASSO BROCON “DA S’CIOPO”,,,Castello Tesino,38053,2,"['BAR', 'RISTORANTE', 'ALBERGO']"
,562,FIORI E VERDURA,Piazza Trento,,Castello Tesino,38053,1,[]
,563,EMPORIO DIEGO ZOTTA,Piazza Trento,,Castello Tesino,38053,3,[]
Molini,564,BAR AL PONTE,,,Castello Tesino,38053,2,['BAR']
,565,MACELLERIA BOSO,Via Baili,,Castello Tesino,38053,4,['MACELLERIA']
,566,BAR RISTORANTE ALBERGO BELLAVISTA,Via Roma,,Castello Tesino,38053,17,"['BAR', 'RISTORANTE', 'ALBERGO']"
,567,ABBIGLIAMENTO BAILO,Piazza Marconi,,Castello Tesino,38053,1,[]
,568,ALIMENTARI DA CELESTINO,Piazza Marconi,,Castello Tesino,38053,5,['ALIMENTARI']
,569,ALIMENTARI MORANDUZZO,Via Terrasanta,,Castello Tesino,38053,7,['ALIMENTARI']
,570,CAFFÈ MARCONI,Piazza Marconi,,Castello Tesino,38053,4,[]
,571,TABACCHI ZAMPIERO,Piazza Marconi,,Castello Tesino,38053,3,['TABACCHI']
Madonna di Campiglio,572,CHALET FERRARI,Piazza Righi,,Pinzolo,38086,28,[]
Madonna di Campiglio,573,CHALET FERRARI REGALO,Piazza Righi,,Pinzolo,38086,30,[]
,574,ZANELLA ARREDAMENTI,Via Rosmini,,Trento,38122,78,[]
,575,ALIMENTARI RICCIO STEFANIA,Via Dante,,Levico Terme,38065,7/B,['ALIMENTARI']
,576,ETA BETA DI GRISENTI GIORGIA,Corso Centrale,,Levico Terme,38065,38,[]
,577,FERRAMENTA CASALINGHI ROSA,Via Dante,,Levico Terme,38065,16,['FERRAMENTA']
,578,FAMIGLIA COOPERATIVA LAGORAI,Via Marchi,,Ronchi Valsugana,38050,2,[]
,579,SIMONETTO CARNI,Viale Venezia,,Castelnuovo,38050,20,[]
Sén Pelegrin,580,BAR RISTORANTE HOTEL COSTABELLA,,,Moena,38035,37,"['BAR', 'RISTORANTE', 'HOTEL']"
,581,MACELLERIA FELICETTI,Strada E. Zanoner Canori,,Moena,38035,,['MACELLERIA']
,582,ELETTRODOMESTICI DE PELLEGRINI,Strenta de Ischiacia,,Moena,38035,14,[]
,583,SEGHERIA ZANONER,Strada de la Comunità de Fiem,,Moena,38035,11,[]
,584,MACELLERIA FASANELLI,Via 3 Novembre,,Pomarolo,38060,3,['MACELLERIA']
,585,MINATI ROBERTA,Via Vittorio Emanuele,esercizio commerciale,Grigno,38055,27,[]
,586,BAR RISTORANTE ALBERGO SILVANA,Via Nuova,,Ledro,38067,6,"['BAR', 'RISTORANTE', 'ALBERGO']"
,587,EDICOLA TABACCHI SANNICOLÒ GABRIELE,Piazza Sanzio,,Trento,38122,9,['TABACCHI']
,588,FARMACIA CENTRALE,Corso Ausugum,,Borgo Valsugana,38051,40,['FARMACIA']
,589,SIMONETTO CARNI,Via Padri Morizzo,,Borgo Valsugana,38051,20,[]
,590,FAMIGLIA COOPERATIVA DI CAVALESE,Piazza Battisti,,Cavalese,38033,12,[]
,591,DAMIATA MOTO,Corso Bettini,,Rovereto,38068,54,[]
,592,NEON TRENTO SCOTUZZI,Via Ragazzi del '99,attività artigianale,Trento,38123,39,[]
,593,CASA DEL CAFFÈ,Via Maffei,,Riva del Garda,38066,13,[]
Vezzano,594,RISTORANTE PIZZERIA LILLÀ,Piazza di Sant'A. Abate,,Vallelaghi,38070,5,"['RISTORANTE', 'PIZZERIA']"
Francolini,595,BAR HOTEL SEGGIOVIA,,,Folgaria,38064,32,"['BAR', 'HOTEL']"
,596,PANIFICIO CANALIA,Via Schirni,,Folgaria,38064,13,['PANIFICIO']
,597,FOLGARIA FASHION SPORT,Via E. Colpi,,Folgaria,38064,191,['SPORT']
,598,BAR RISTORANTE HOTEL BIANCANEVE,Via A. Maffei,,Folgaria,38064,134,"['BAR', 'RISTORANTE', 'HOTEL']"
,600,BAR RISTORANTE HOTEL ERICA,Via Nazionale,,Folgaria,38064,69,"['BAR', 'RISTORANTE', 'HOTEL']"
,601,BAR RISTORANTE ANTICO ALBERGO STELLA D'ITALIA,Via E. Colpi,,Folgaria,38064,48,"['BAR', 'RISTORANTE', 'ALBERGO']"
,602,BAR RISTORANTE ALBERGO TRENTINO,Via Manzoni,,Folgaria,38064,63,"['BAR', 'RISTORANTE', 'ALBERGO']"
,603,CALZATURE FAIT,Via E. Colpi,,Folgaria,38064,10,['CALZATURE']
,604,FARMACIA GIRARDI,Via E. Colpi,,Folgaria,38064,179,['FARMACIA']
,605,BAR RISTORANTE PARK HOTEL MIRAMONTI,Via Dante Alighieri,,Folgaria,38064,12,"['BAR', 'RISTORANTE', 'HOTEL']"
,606,BAR RISTORANTE ALBERGO DUE SPADE,Via Lega Nazionale,,Folgaria,38064,41,"['BAR', 'RISTORANTE', 'ALBERGO']"
,607,MERCERIA RELLA,Piazza S. Lorenzo,,Folgaria,38064,11,[]
Sopramonte,609,SALUMERIA BELLI,Piazza Oveno,,Trento,38123,1,[]
Ponte Arche,610,BONANI GIULIANA,,esercizio commerciale,Comano Terme,38077,58,[]
,611,BAR FIORENTINA,Via Calepina,,Trento,38122,4,['BAR']
,612,AMBROSI SILVIO LUIGI,Via Nazionale,esercizio commerciale,Pellizzano,38020,35,[]
Taio,613,MACELLERIA MALENCH,Piazza San Vittore,,Predaia,38012,19,['MACELLERIA']
,614,BAR DEI CAVAI,Via S. Martino,,Trento,38122,90,['BAR']
,615,BRESCIANI SOUVENIR,Piazza C. Battisti,,Riva del Garda,38066,14,[]
,616,PROFUMERIE BRESCIANI,Via Mazzini,,Riva del Garda,38066,13,[]
,617,BAR DELL'HOTEL RANCOLIN,Strada de Moene,,Moena,38035,31,"['BAR', 'HOTEL']"
,618,MOBILIFICIO ARTIGIANI ASSOCIATI,Strada de la Comunità de Fiem,,Moena,38035,34,[]
,619,BAR GABRY,Piaz de Ramon,,Moena,38035,27,['BAR']
,620,BAR RAMON,Piaz de Ramon ,,Moena,38035,41,['BAR']
,621,ENOTECA DEL PINTER,Strenta de Ischiacia,,Moena,38035,1,[]
,622,GIOIELLERIA CROCE,Piaz de Ramon,,Moena,38035,41,[]
,623,BAR DELL'HOTEL ALLE ALPI,Strada de Moene ,,Moena,38035,67,"['BAR', 'HOTEL']"
,624,LA BORA,Piaz de Ramon,,Moena,38035,45,[]
,625,NONSOLOMODA,Strada de Fachin,,Moena,38035,3,[]
,626,PELLETTERIA GRAZIA S.A.S.,Via Fiume,,Riva del Garda,38066,29,[]
Cembra,627,MACELLERIA ZANOTELLI,Viale IV Novembre 35,,Cembra Lisignago,38034,,['MACELLERIA']
Cembra,628,PANIFICIO GAIGHER,Via Damiano Chiesa  6,,Cembra Lisignago,38034,,['PANIFICIO']
Cembra,629,FERRAMENTA PIU',Viale IV Novembre 35,,Cembra Lisignago,38034,82,['FERRAMENTA']
Cembra,630,IDEA CASA,Viale IV Novembre 35,,Cembra Lisignago,38034,78,[]
Cembra,631,MACELLERIA PAOLAZZI,Piazza San Rocco,,Cembra Lisignago,38034,2,['MACELLERIA']
Cembra,632,BAR VICO,Piazza Marconi,,Cembra Lisignago,38034,6,['BAR']
Cembra,633,BAR ROSALPINA,Viale IV Novembre 17,,Cembra Lisignago,38034,,['BAR']
,634,ALBERGO RISTORANTE BAR DUE SPADE,Piazza Municipio ,,Caldonazzo,38052,2,"['BAR', 'RISTORANTE', 'ALBERGO']"
,635,ALBERGO RISTORANTE BAR ALLA TORRE,Via delle Villa,,Caldonazzo,38052,37,"['BAR', 'RISTORANTE', 'ALBERGO']"
,636,CASALINGHI FERRAMENTA MURARA,Piazza Municipio,,Caldonazzo,38052,14,['FERRAMENTA']
,637,MOBILI CIOLA,Via Brenta,,Caldonazzo,38052,9,[]
,638,BAR RISTORNATE ROSSI,Via G. Marconi,,Luserna,38040,1,['BAR']
Siror,639,MACELLERIA BONELLI,Via Asilo,,Primiero San Martino di Castrozza,38054,26,['MACELLERIA']
Siror,640,PANIFICIO PASTICCERIA ZANETEL ARRIGO,Via Larga,,Primiero San Martino di Castrozza,38054,11,['PANIFICIO']
Siror,641,BAR HOTEL SIROR,Via Larga ,,Primiero San Martino di Castrozza,38054,13,"['BAR', 'HOTEL']"
San Martino di Castrozza,642,CAFFE' CENTRALE DI GIAN LUIGI SECCO E C.,Via Passo Rolle,,Primiero San Martino di Castrozza,38054,76,[]
San Martino di Castrozza,643,RISTORANTE ALBERGO CENTRALE,Via Passo Rolle,,Primiero San Martino di Castrozza,38054,74,"['RISTORANTE', 'ALBERGO']"
San Martino di Castrozza,644,BAZAR DELL'ALPE,Via Passo Rolle,,Primiero San Martino di Castrozza,38054,185,['BAZAR']
San Martino di Castrozza,645,BANCHER S.A.S. DI TISOT ADELIA E C.,Via Laghetto,,Primiero San Martino di Castrozza,38054,4,[]
,646,ALBERGO BAR RISTORANTE ROSALPINA DI CANALIA GABRIELE,Via Strada Nuova ,,Folgaria,38064,8,"['BAR', 'RISTORANTE', 'ALBERGO']"
Costa,647,ALBERGO BAR RISTORANTE SAYONARA DI RECH WILLIAM,Via A. Maffei,,Folgaria,38064,52,"['BAR', 'RISTORANTE', 'ALBERGO']"
Cembra,648,NIC S.A.S. DI NICOLODI MARTINO,Via Cesare Battisti,,Cembra Lisignago,38034,33/1,[]
Cembra,649,FAMIGLIA COOPERATIVA DI CEMBRA,Piazza Marconi,,Cembra Lisignago,38034,3,[]
Cembra,650,TABACCHINO DI FADANELLI MAURA,Piazza Marconi,,Cembra Lisignago,38034,8,['TABACCHI']
Cembra,651,BAR PIZZERIA SAINT ROCK,Viale IV Novembre,,Cembra Lisignago,38034,51,"['BAR', 'PIZZERIA']"
,652,BAZAR COVI,Piazza San Giovanni,,Fondo,38013,16,['BAZAR']
,653,CALZATURE SCHNEIDER,Via IV Novembre,,Fondo,38013,1,['CALZATURE']
,654,EUROPAFERR FERRAMENTA DI ZINI MAURO GIOVANNI,Via Battisti,,Fondo,38013,25,['FERRAMENTA']
,655,BATTISTI CALZATURE DI BATTISTI ALBERTO,Via Battisti,,Fondo,38013,10,['CALZATURE']
,656,ZANONI PREZIOSI ,Via Inama,,Fondo,38013,2,[]
,657,PIZZERIA-RISTORANTE AL FOLON,Via Lago Smeraldo,,Fondo,38013,18,"['RISTORANTE', 'PIZZERIA']"
,658,BAR RISTORANTE TRENTO,Via Milano ,,Bieno,38050,10,"['BAR', 'RISTORANTE']"
Siror,659,BIRRERIA VALSERENA,Via Valserena ,,Primiero San Martino di Castrozza,38054,36,[]
Siror,660,BAR CAFFE' ERO,Via S. Andrea,,Primiero San Martino di Castrozza,38054,5,['BAR']
San Martino di Castrozza,661,BAR MARGHERITA,Via Passo Rolle,,Primiero San Martino di Castrozza,38054,183,['BAR']
San Martino di Castrozza,662,ESTETICA PROFUMERIA TISOT,Via Passo Rolle,,Primiero San Martino di Castrozza,38054,133,[]
Siror,663,CALZATURE BANCHER SEVERINO,Via Rivetta,,Primiero San Martino di Castrozza,38054,23,['CALZATURE']
San Martino di Castrozza,664,RISTORANTE ALBERGO FRATAZZA,Via Passo Rolle,,Primiero San Martino di Castrozza,38054,2,"['RISTORANTE', 'ALBERGO']"
San Martino di Castrozza,665,FAMIGLIA COOPERATIVA DI SIROR,Via S. Andrea,,Primiero San Martino di Castrozza,38054,4,[]
,666,BAR ALLA TORRE,Via Avisio,,Castello-Molina di Fiemme,38030,6,['BAR']
,667,RISTORANTE ALBERGO LATEMAR S.N.C. DI BETTA MARISA E &.,Via Latemar,,Castello-Molina di Fiemme,38030,16,"['RISTORANTE', 'ALBERGO']"
Molina di Fiemme,668,CAVADA DOLORES DI CAVADA UGO & C. S.N.C.,Via Bolzano,,Castello-Molina di Fiemme,38030,22,[]
Stramentizzo Nuovo,669,BAR RISTORANTE PIZZERIA AL LAGO,,,Castello-Molina di Fiemme,38030,19,"['BAR', 'RISTORANTE', 'PIZZERIA']"
Molina di Fiemme,670,BAR RISTORANTE ALBERGO PINETA,Via Cadino,,Castello-Molina di Fiemme,38030,2,"['BAR', 'RISTORANTE', 'ALBERGO']"
Molina di Fiemme,671,RISTORANTE ALBERGO ANCORA DI ZANCANELLA PAOLO E LUCIA S.N.C.,Via Marconi,,Castello-Molina di Fiemme,38030,4,"['RISTORANTE', 'ALBERGO']"
Molina di Fiemme,672,PANIFICIO TARTER DI MARCO TARTER & C. S.N.C.,Via Marconi,,Castello-Molina di Fiemme,38030,17,['PANIFICIO']
Molina di Fiemme,673,FAMIGLIA COOPERATIVA DI CAVALESE - MOLINA DI FIEMME - PREDAIA,Via Marconi,,Castello-Molina di Fiemme,38030,23,[]
,674,FAMIGLIA COOPERATIVA DI CAVALESE - CASTELLO DI FIEMME,Via Roma,,Castello-Molina di Fiemme,38030,11,[]
,675,CARTOLERIA GIOCATTOLI BERTOLDI,Piazza San Giovanni,,Fondo,38013,37,[]
,676,LA BOTTEGA DI ZAMBIASI,Piazza San giovanni,,Fondo,38013,15,[]
,677,LATTERIA SOCIALE DI FONDO,Via IV Novembre,,Fondo,38013,70,[]
,678,FAMIGLIA COOPERATIVA VAL DI NON,Via Battisti,,Fondo,38013,20,[]
,679,CAFFE' VECCHIA TIONE,Via del Foro,,Tione di Trento,38079,16,[]
Casez,680,FAMIGLIA COOPERATIVA VAL DI NON S.C.A.R.L. - CASEZ,Via Roma,,Sanzeno,38010,9,[]
,681,FAMIGLIA COOPERATIVA VAL DI NON S.C.A.R.L. - SANZENO,Via Nazionale,,Sanzeno,38010,28,[]
Banco,682,FAMIGLIA COOPERATIVA VAL DI NON S.C.A.R.L. - BANCO,Via Mazzini,,Sanzeno,38010,2,[]
,683,BAR ALLA FONTANA DI BALDO ONESTINGHEL OLGA & C.,Piazza Centrale,,Sanzeno,38010,38/A,['BAR']
Banco,684,BAR MARINELLI,Via Mazzini,,Sanzeno,38010,3,['BAR']
Banco,685,BAR DALPIAZ,,,Sanzeno,38010,48,['BAR']
Casez,686,HOTEL CASEZ,Via Roma,,Sanzeno,38010,48,['HOTEL']
,687,RISTORANTE AL MULINO,Via S. Romedio ,,Sanzeno,38010,18,['RISTORANTE']
,688,PANIFICIO ZORZI DI ZORZI EZIO & C. S.N.C.,Via Roma,,Castello-Molina di Fiemme,38030,34,['PANIFICIO']
Molina di Fiemme,689,BAR SPORT,Via Italia,,Castello-Molina di Fiemme,38030,10,"['BAR', 'SPORT']"
,690,QUEN CONFEZIONI,Piazza Dante,,Fondo,38013,5,[]
,691,RESTEL DE FER,Via Restel de Fer,,Riva del Garda,38066,10,[]
,692,DELVAI MARKET S.N.C. DI DELVAI NICOLETTA E CARESIA DIEGO,Via Giovanelli A.,,Carano,38033,43,[]
,693,TUTTO LUCE SAS,Via Calepina,,Trento,38122,40,[]
,694,BAR TRE PORTONI,Via S. Croce,,Trento,38122,48,['BAR']
,695,BAR ROMA,Via Roma,,Ospedaletto,38050,22,['BAR']
,696,FIORERIA STELLA,Corso Tre Novembre,,Trento,38122,44,[]
,697,CONTINI,Via Fiume,esercizio commerciale,Riva del Garda,38066,55,[]
,698,A. CRIVELLARI – COSE DI CASA,Via Battisti,,Pergine Valsugana,38057,8,[]
,699,FRISANCO,Piazza Spiaz de le Oche,esercizio commerciale,Pergine Valsugana,38057,33,[]
,700,ALIMENTARI CAOLA,Via Maturi,,Pinzolo,38086,1,['ALIMENTARI']
,701,LA BOTTEGA DEL MOLETA,Via Lampi ,esercizio commerciale/attività artigianale,Cles,38023,9,[]
,702,ALBERGO RISTORANTE CLES – OSTERIA PALAZAN,Piazza Navarrino, ,Cles,38023,7,"['RISTORANTE', 'ALBERGO']"
,703,CAFF'E EUROPA,Piazza Granda,,Cles,38023,5,[]
,704,FARMACIA DE MAFFEI ,Via Pilati,,Cles,38023,13,['FARMACIA']
,705,CAFFÈ BERTOLASI,Piazza Granda,,Cles,38023,43,[]
,706,VISINTAINER CARTOLIBRERIA,Piazza Granda,,Cles,38023,3,[]
,707,ROSANI ALIMENTARI,Piazza Pez,,Cles,38023,1,['ALIMENTARI']
,708,SEGHERIA LONGO,Via Marconi,,Cles,38023,38-44,[]
,709,ALIMENTARI PAOLI S.N.C.,Via Diaz,,Cles,38023,6/A,['ALIMENTARI']
,710,MACELLERIA AGOSTINI LUIGI,Via Lampi ,,Cles,38023,26,['MACELLERIA']
,711,MENAPACE IVO,Via Pilati,esercizio commerciale,Cles,38023,9,[]
,712,VALENTINOTTI FRANCESCO,Piazza Granda,esercizio commerciale,Cles,38023,40,[]
,713,ANGELI FLAVIO,Piazza Municipio ,esercizio commerciale,Cles,38023,6,[]
,714,OREFICERIA A. CORRADINI,Piazza Granda,,Cles,38023,23,[]
,715,ANGELI NICOLA,Piazza Municipio,esercizio commerciale,Cles,38023,4,[]
,716,PREZIOSI STELLA,Piazza Municipio ,,Cles,38023,7,[]
,717,PESCHERIA GOIO,Via Lampi ,,Cles,38023,2,[]
,718,COLORIFICIO PIZ,Piazza Granda,,Cles,38023,30,[]
,719,ABRAM VITTORIO E C. SNC,Via Battisti,esercizio commerciale,Sarnonico,38011,51,[]
,720,BAZAR GIORNALI DI CATTARINI VINCENZO,Via IV Novembre,,Sarnonico,38011,2,['BAZAR']
Stravino,721,CALZATURE DALLAPÈ,Via Trento,,Cavedine,38073,14,['CALZATURE']
Bezzecca,722,BAITA SANTA LUCIA,Via Santa Lucia,esercizio di somministrazione di alimenti e bevande,Ledro,38067,36,[]
,723,ANTICA CROCE,Via dei Laghi,esercizio di somministrazione di alimenti e bevande,Tenno,38060,1,[]
Grumo,724,MOBILI ZENI LINO S.R.L.,Via Postal,esercizio commerciale,S. Michele all’Adige,38010,29,[]
Grumo,725,HOTEL CANTALEONE,Via Tonale,,S. Michele all’Adige,38010,23,['HOTEL']
,726,BAR AL TURISTA,Via Brennero,,S. Michele all’Adige,38010,32,['BAR']
Penia / Fedaia,727,BAR DIGA,,,Canazei,38032,17,['BAR']
Sega,728,ALBERGO MONTILESSINI,,pubblico esercizio – somministrazione di alimenti e bevande – pizzeria,Ala,38061,,"['ALBERGO', 'PIZZERIA']"
,729,BAR EUGENIA,Piazza G. Cantore,,Ala,38061,1,['BAR']
,730,BAR TABACCHI DI BONGIOVANNI MAURO,Piazzetta Cantore,,Ala,38061,5,"['BAR', 'TABACCHI']"
,731,MACELLERIA DEBIASI SERGIO,Via 27 Maggio,,Ala,38061,,['MACELLERIA']
,732,VECCHIO CARNERA,Piazza Buonacquisto,pubblico esercizio – somministrazione di alimenti e bevande – bar/trattoria,Ala,38061,4,['BAR']
,733,OREFICERIA CATTONI DI CATTONI CLAUDIO,Via Cesare Battisti,,Comano Terme,38077,19,[]
,734,CATTONI ELETTRONICA DI CATTONO ROBERTO,Via Cesare Battisti,,Comano Terme,38077,17,[]
San Bernardo,735,HOTEL MIRAMONTI,,ristorante – bar,Rabbi,38020,55,"['BAR', 'RISTORANTE', 'HOTEL']"
,736,LE LUZIE,Piazza SS. Filippo e Giacomo,esercizio commerciale,Predazzo,38037,4,[]
,737,MARCHETTI,Piazza Catena,esercizio commerciale,Riva del Garda,38066,21,[]
Trento,738,INDAL,Via 24 Maggio,esercizio commerciale,Trento,38122,9,[]
,739,ZANLUCCHI SOFIA & C. S.A.S.,Via dei Bagni di Fieno,esercizio commerciale,Garniga Terme,38060,17,[]
,740,RISTORANTE BAR JA VITO DI VENDER KATIA E C. S.N.C.,Stradon de Fascia ,ristorante - bar,Soraga di Fassa,38030,2,"['BAR', 'RISTORANTE']"
,741,SALONE FUORI DI TESTA DI POZZA NADIA,Via Cesare Battisti,parrucchiera (impresa artigiana con vendita di prodotti),Tesero,38038,6/A,[]
