Frazione/Località,Numero,Insegna,Indirizzo,Note,Comune,Cap,Civico,Categorie
,71,ANTICA TRATTORIA AL VOLT DI DANIELA CARESIA,Via Santa Croce,,Trento,38122,16,[]
,72,NATURERBE S.N.C.,Piazza Fiera,esercizio commerciale,Trento,38122,7,[]
,73,LA CANTINOTA RISTORANTE,Via San Marco,,Trento,38122,22,['RISTORANTE']
Passo Coe,74,OSTERIA COE DI PLOTEGHER CHRITIAN,Via Caduti Malga Zonta,,Folgaria,38064,7,[]
,75,JOHN CLUB SAS DI SCHÖNSBERG GIOVANNI & C.,Via E. Colpi,bar,Folgaria,38064,52,['BAR']
Serrada,76,RISTORANTE BAR HOTEL MARTINELLA DI PLOTEGHER STEFANO,Via Martinella,,Folgaria,38064,53,"['BAR', 'RISTORANTE', 'HOTEL']"
,77,RISTORANTE BAR ALBERGO TOMASI DI TOMASI MASSIMILIANO,Via E. Colpi,,Folgaria,38064,108,"['BAR', 'RISTORANTE', 'ALBERGO']"
,78,CASALINGHI MARTINO S.A.S. DI PERGHER GELMI BRUNA E FIGLI,Via E. Colpi,,Folgaria,38064,131,[]
,79,RISTORANTE ALBERGO MILANO DI CAPPELLETTI PAOLA,Via L. Cadorna,,Folgaria,38064,27,"['RISTORANTE', 'ALBERGO']"
,80,BAR PASTICCERIA DALSASS DI CUEL SILVANA & C. SNC,Via E. Colpi,,Folgaria,38064,61,['BAR']
Serrada,81,BAR CENTRALE DI CANALIA LUISA,Via Pasubio,,Folgaria,38064,26,['BAR']
,82,PIZZERIA SCOIATTOLO CENTER SERVICE DI COROTTI GIANDARLO & C. SAS,Via E. Colpi,,Folgaria,38064,233,['PIZZERIA']
,83,ORTOFRUTTA GASPEROTTI FULVIO,Via E. Colpi,,Folgaria,38064,127,[]
,84,ORTOFRUTTA VENERI PAOLO,Via Roma,,Folgaria,38064,85,[]
,85,MINIMARKET TARGHER S.A.S. DI TARGHER MAURO & C.,Via E. Colpi,,Folgaria,38064,9,[]
Costa,86,PANIFICIO BARBETTI GUIDO DI BARBETTI BRUNO & C. S.N.C.,Via Nazioni Unite,,Folgaria,38064,40,"['BAR', 'PANIFICIO']"
,87,RISTORANTE HOTEL ALPINO S.R.L.,Via E. Colpi,,Folgaria,38064,170,"['RISTORANTE', 'HOTEL']"
,88,RISTORANTE LOCANDA DA UGO DI LEITEMPERGHER ETTORE,Via E. Colpi,,Folgaria,38064,343,['RISTORANTE']
Carbonare,89,BAZAR TABACCHI PEROTTO LUCIA ASSUNTA,Via G. Carducci,,Folgaria,38064,45,"['TABACCHI', 'BAZAR']"
,90,FOTO OTTICA PLOTEGHER ALCIDE,Via E. Colpi,,Folgaria,38064,143,[]
Carbonare,91,MINIMARKET SCALZERI GIANNA,Via A. Manzoni,,Folgaria,38064,14,[]
,92,ANTICA MACELLERIA E SALUMERIA CAPPELLETTI DI CAPPELLETTI ANDREA,Via E. Colpi,,Folgaria,38064,1,['MACELLERIA']
,93,NEGOZIO MARIAROSA DI FESTI GIUSTINO,Via E. Colpi,,Folgaria,38064,21,[]
,94,MACELLERIA CANALIA MAURO,Via E. Colpi,,Folgaria,38064,171,['MACELLERIA']
Fondo Grande,95,BAR RISTORANTE CONCA D’ORO DI GEROLA FIORENZO,,,Folgaria,38064,160,"['BAR', 'RISTORANTE']"
San Sebastiano,96,RISTORANTE BAR ALBERGO AL SOLE DI ALICE E MARIANNA DALPRA’ SNC,Via L. Nazionale,,Folgaria,38064,49,"['BAR', 'RISTORANTE', 'ALBERGO']"
,97,EDICOLA RIVENDITA TABACCHI N° 3 DI WEGHER PAOLO,Via Roma,,Folgaria,38064, 71/73,['TABACCHI']
,98,MILLE COSE SNC DI PLOTEGHER MAURO E MICHELA & C.,Via E. Colpi,,Folgaria,38064,135,[]
,99,SPECIALITA’ ALIMENTARI DI PAOLO E GIANNI ALIMENTARI FINAROLLI DI GILBERTI PAOLO & C. S.N.C.,Via Mercerie,,Rovereto,38068, 7-9,['ALIMENTARI']
,100,LUIGI ALDRIGHETTONI DI ALDRIGHETTONI GIOVANNI BATTISTA,Via Paoli,esercizio commerciale,Rovereto,38048, 18/B,[]
,101,RISTORANTE  BAR BENACO di NODARI GIOVANNI & C. S.A.S.,Via Benaco,,Torbole sul Garda,38033,35,"['BAR', 'RISTORANTE']"
,102,CAFFE’ ALEXANDER BERNARDI GIORGIO & C. SNC,Piazza Municipio,,Pergine Valsugana,38057,4,[]
,103,OCHNER LUIGI,Piazza Municipio,esercizio commerciale,Pergine Valsugana,38057,20,[]
,104,BAR AL PONTE di TARGA MATTEO,Via Al Ponte,,Pergine Valsugana,38057,4,['BAR']
Gionghi,106,PANIFICIO BERTOLDI S.N.C. DI BERTOLDI FABIO & C.,,,Lavarone,38046,105,['PANIFICIO']
,107,CERVO S.N.C. DI MARCHESI CARLO & F.LLI,Piazza Milano,ristorante bar,Lavarone,38046,2,"['BAR', 'RISTORANTE']"
Gionghi,108,PICCOLO BAZAR DI GIONGO MARIO,,,Lavarone,38046,96,['BAZAR']
,109,STENGHELE FRATELLI S.N.C. DI STENGHELE FRANCESCO GINO & C.,Via Trieste,esercizio commerciale,Lavarone,38046,18,[]
,110,RISTORANTE BAR HOTEL DU LAC DI GABRIELLI ANDREA & C. S.A.S.,Via Trieste,,Lavarone,38046,32,"['BAR', 'RISTORANTE', 'HOTEL']"
Bertoldi,111,FAMIGLIA COOPERATIVA LAVARONE S.C.A.R.L.,,,Lavarone,38046,5,[]
,113,DALSASSO EUGENIO,Via Piave,esercizio commerciale,Pergine Valsugana,38057,6,[]
,114,A.B. INTIMO DI BRUNELLI SILVANA E EVANGELISTI LUIGINO S.N.C.,Via Chimelli,,Pergine Valsugana,38057,18,[]
,115,LA ROTONDA DI BETTI MARCO & C. S.N.C.,Viale Venezia,ristorante,Pergine Valsugana,38057,37,['RISTORANTE']
,116,GIOIELLERIA ANDREATTA SAS DI ANDREATTA ALESSANDRO & C.,Corso Roma,,Baselga di Piné,38042,72,[]
,117,FARMACIA DE BATTAGLIA,Piazza Pasi,,Trento,38122,20,['FARMACIA']
,119,MOSER CICLI,Via Calepina,,Trento,38122,63,[]
