Code,State,Year,Beltran_Leyva,Beltran_Leyva_Family,Familia,Golfo,Juarez,Sinaloa,Sinaloa_Family,Tijuana,Zetas,Otros
2005,2,2004,0,0,0,0,0,0,0,1,0,0
2005,2,2005,0,0,0,0,0,0,0,1,0,0
2005,2,2006,0,0,0,0,0,0,0,1,0,1
2005,2,2007,0,0,0,0,0,0,0,1,0,1
2005,2,2008,0,0,0,0,0,0,0,1,0,1
2005,2,2009,0,0,0,0,0,0,0,1,0,1
2005,2,2010,1,0,0,0,0,1,0,1,0,1
3001,3,1990,0,0,0,0,0,0,0,0,0,0
3001,3,1991,0,0,0,0,0,0,0,0,0,0
3001,3,1992,0,0,0,0,0,0,0,0,0,0
3001,3,1993,0,0,0,0,0,0,0,0,0,0
3001,3,1994,0,0,0,0,0,0,0,0,0,0
3001,3,1995,0,0,0,0,0,0,0,0,0,0
3001,3,1996,0,0,0,0,0,0,0,0,0,0
3001,3,1997,0,0,0,0,0,0,0,0,0,0
3001,3,1998,0,0,0,0,0,0,0,0,0,0
3001,3,1999,0,0,0,0,0,0,0,0,0,0
3001,3,2000,0,0,0,0,0,0,0,0,0,0
3001,3,2001,0,0,0,0,0,0,0,0,0,0
3001,3,2002,0,0,0,0,0,0,0,0,0,0
3001,3,2003,0,0,0,0,0,0,0,0,0,0
3001,3,2004,0,0,0,0,0,0,0,0,0,0
3001,3,2005,0,0,0,0,0,0,0,0,0,0
3001,3,2006,0,0,0,0,0,0,0,0,0,0
3001,3,2007,0,0,0,0,0,0,0,0,0,0
3001,3,2008,0,0,0,0,0,0,0,0,0,0
3001,3,2009,0,0,0,0,0,0,0,0,0,0
3001,3,2010,0,0,0,0,0,0,0,0,0,0
3002,3,1990,0,0,0,0,0,0,0,0,0,0
3002,3,1991,0,0,0,0,0,0,0,0,0,0
3002,3,1992,0,0,0,0,0,0,0,0,0,0
3002,3,1993,0,0,0,0,0,0,0,0,0,0
3002,3,1994,0,0,0,0,0,0,0,0,0,0
3002,3,1995,0,0,0,0,0,0,0,0,0,0
3002,3,1996,0,0,0,0,0,0,0,0,0,0
3002,3,1997,0,0,0,0,0,0,0,0,0,0
3002,3,1998,0,0,0,0,0,0,0,0,0,0
3002,3,1999,0,0,0,0,0,0,0,0,0,0
3002,3,2000,0,0,0,0,0,0,0,0,0,0
3002,3,2001,0,0,0,0,0,0,0,0,0,0
