constellation,type,ra,dec,description
Eridanus,1,4794,-2573,draw 4794 -2573
Eridanus,1,4409,-2862,draw kappa
Eridanus,1,4095,-3090,draw phi
Eridanus,1,3478,-3096,draw chi
Eridanus,1,2931,-3434,draw achernar
Eridanus,-1,0,0,
Fornax,0,5762,-1739,move alpha
Fornax,1,5072,-1944,draw beta
Fornax,1,3734,-1757,draw nu
Fornax,-1,0,0,
Gemini,0,10923,1395,move gem 1
Gemini,1,11246,1350,draw gem eta
Gemini,1,11488,1350,draw gem mu
Gemini,1,12117,1507,draw gem epsilon
Gemini,1,12934,1814,draw gem tau
Gemini,1,13473,1907,draw gem rho
Gemini,1,13638,1913,draw castor
Gemini,0,13959,1681,move pollux
Gemini,1,13677,1613,draw gem upsilon
Gemini,1,13203,1318,draw gem delta
Gemini,1,12723,1234,draw gem zeta
Gemini,1,11931,983,draw gem gamma
Gemini,0,12383,2037,move gem theta
Gemini,1,12934,1814,draw gem tau
Gemini,1,13336,1658,draw gem 59
Gemini,1,13677,1613,draw gem upsilon
Gemini,1,13933,1463,draw gem kappa
Gemini,0,13203,1318,move gem delta
Gemini,1,13142,992,draw gem lambda
Gemini,1,13001,969,draw gem 51
Gemini,1,13001,969,draw gem 51
Gemini,1,12158,773,draw gem xi
Gemini,0,12117,1507,move gem epsilon
Gemini,1,11668,1212,draw gem nu
Gemini,-1,0,0,
Grus,0,39417,-2241,move gamma
Grus,1,39783,-2372,draw lambda
Grus,1,40478,-2609,draw delta1
Grus,1,40880,-2813,draw beta
Grus,1,41056,-3079,draw epsilon
Grus,1,41426,-3165,draw zeta
Grus,0,40880,-2813,move beta
Grus,1,39847,-2817,draw alpha
Grus,1,40478,-2609,draw delta1
Grus,-1,0,0,
Hercules,0,28580,2547,move chi
Hercules,1,29063,2696,draw phi
Hercules,1,29392,2778,draw tau
Hercules,1,29823,2546,draw sigma
Hercules,1,30086,2335,draw eta
Hercules,1,30038,1896,draw zeta
Hercules,1,29706,1289,draw beta
Hercules,1,29457,1149,draw gamma
Hercules,1,29562,842,draw omega
Hercules,1,29778,689,draw 29
Hercules,0,29706,1289,move beta
Hercules,1,31039,863,draw alpha
Hercules,1,31050,1490,draw delta
Hercules,1,30608,1855,draw epsilon
Hercules,1,30038,1896,draw zeta
Hercules,0,31050,1490,move delta
Hercules,1,31522,1566,draw lambda
Hercules,1,31993,1663,draw mu
Hercules,1,32332,1754,draw xi
Hercules,1,32626,1725,draw omicron
Hercules,0,30608,1855,move epsilon
Hercules,1,31051,2208,draw pi
Hercules,1,30086,2335,draw eta
Hercules,0,31051,2208,move pi
Hercules,1,32287,2235,draw theta
Hercules,1,31783,2760,draw iota
Hercules,-1,0,0,
Horologium,0,7620,-2537,move alpha
Horologium,1,4876,-3048,draw iota
Horologium,1,4722,-3152,draw eta
Horologium,1,4819,-3273,draw zeta
Horologium,1,5508,-3584,draw mu
Horologium,1,5363,-3844,draw beta
Horologium,-1,0,0,
Hydra,0,26708,-1677,move 58
Hydra,1,25391,-1600,draw pi
Hydra,1,23967,-1390,draw gamma
Hydra,1,21387,-2034,draw beta
Hydra,1,20790,-1911,draw xi
Hydra,1,20149,-1369,draw crt beta
Hydra,1,19793,-1097,draw crt alpha
Hydra,1,19488,-971,draw nu
Hydra,1,18782,-1010,draw mu
Hydra,1,18317,-741,draw lambda
Hydra,1,18153,-783,draw upsilon2
Hydra,1,17744,-890,draw upsilon1
Hydra,1,17027,-519,draw alpha
Hydra,1,17395,-68,draw iota
Hydra,1,16630,138,draw theta
Hydra,1,16061,356,draw zeta
Hydra,1,15803,385,draw epsilon
Hydra,1,15529,342,draw delta
Hydra,1,15562,200,draw sigma
Hydra,1,15696,203,draw eta
Hydra,1,15853,350,draw rho
Hydra,1,15803,385,draw epsilon
Hydra,-1,0,0,
Hydrus,0,6817,-4454,move gamma
Hydrus,1,772,-4635,draw beta
Hydrus,1,3563,-3694,draw alpha
Hydrus,1,6817,-4454,draw gamma
Hydrus,-1,0,0,
Indus,0,37644,-3507,move beta
Indus,2,37321,-3115,dotted eta
Indus,2,37127,-2837,dotted alpha
Indus,2,38396,-3206,dotted theta
Indus,2,39537,-3299,dotted delta
Indus,-1,0,0,
Lacerta,0,40079,2264,move 1
Lacerta,2,40016,2382,dotted 22:13:53 39:42:53
Lacerta,2,40514,2587,dotted 6
Lacerta,2,40815,2656,dotted 11
Lacerta,2,40485,2862,dotted 5
Lacerta,2,40538,3016,dotted alpha
Lacerta,2,40306,3133,dotted beta
Lacerta,2,40335,2968,dotted 4
Lacerta,2,40485,2862,dotted 5
Lacerta,2,40230,2792,dotted 2
Lacerta,2,40514,2587,dotted 6
Lacerta,-1,0,0,
Leo,0,18251,718,move regulus
Leo,1,18220,1005,draw eta
Leo,1,18599,1190,draw gamma1
Leo,1,18500,1405,draw zeta
Leo,1,17782,1560,draw mu
Leo,1,16939,1570,draw kappa
Leo,1,17151,1378,draw lambda
Leo,1,17575,1426,draw epsilon
Leo,1,17782,1560,draw mu
Leo,0,17575,1426,move epsilon
Leo,1,18220,1005,draw eta
Leo,1,20227,925,draw theta
Leo,1,20517,631,draw iota
Leo,1,20434,361,draw sigma
Leo,0,20227,925,move theta
Leo,1,21271,874,draw beta
Leo,1,20223,1231,draw delta
Leo,1,20227,925,draw theta
Leo,0,20223,1231,move delta
Leo,1,18599,1190,draw gamma1
Leo,-1,0,0,
Leo_Minor,0,17226,2183,move 10
Leo_Minor,2,18222,2114,dotted 21
Leo_Minor,2,18777,2027,dotted 30
Leo_Minor,2,19599,2052,dotted 46
Leo_Minor,2,18836,2202,dotted beta
Leo_Minor,2,18222,2114,dotted 21
Leo_Minor,-1,0,0,
Lepus,0,9396,-776,move kappa
Lepus,1,9387,-972,draw mu
Lepus,1,9587,-790,draw lambda
Lepus,0,9981,-1069,move alpha
Lepus,1,9847,-1245,draw beta
Lepus,1,10333,-1346,draw gamma
Lepus,1,10539,-1252,draw delta
Lepus,1,10984,-896,draw theta
Lepus,1,10692,-850,draw eta
Lepus,1,10408,-889,draw zeta
Lepus,1,9981,-1069,draw alpha
Lepus,1,9387,-972,draw mu
Lepus,1,9163,-1342,draw epsilon
Lepus,1,9847,-1245,draw beta
Lepus,-1,0,0,
Libra,0,27122,-1516,move sigma
Libra,1,26726,-962,draw alpha2
Libra,1,27510,-562,draw beta
Libra,1,28065,-887,draw gamma
Libra,1,26726,-962,draw alpha2
Libra,0,28065,-887,move gamma
Libra,1,28110,-1688,draw upsilon
Libra,1,28159,-1786,draw tau
Libra,-1,0,0,
Lupus,0,26955,-2588,move beta
Lupus,1,27641,-2438,draw delta
Lupus,1,28054,-2470,draw gamma
Lupus,1,28803,-2303,draw eta
Lupus,1,28528,-2017,draw chi
Lupus,1,27654,-2175,draw phi1
Lupus,1,28803,-2303,draw eta
Lupus,1,27368,-3125,draw zeta
Lupus,1,26457,-2843,draw alpha
Lupus,0,27368,-3125,move zeta
Lupus,1,27556,-2872,draw mu
Lupus,1,27680,-2681,draw epsilon
Lupus,1,28054,-2470,draw gamma
Lupus,-1,0,0,
Lynx,0,16831,2063,move alpha
Lynx,2,16765,2208,dotted 38
Lynx,2,16396,2307,dotted 9:06:32 38:27:08
Lynx,2,16219,2506,dotted 9:00:38 41:46:58
Lynx,2,15085,2591,dotted 31
Lynx,2,13401,2952,dotted 21
Lynx,2,12518,3505,dotted 15
Lynx,2,11388,3540,dotted 2
Lynx,-1,0,0,
Lyra,0,33743,2256,move zeta1
Lyra,1,33730,2380,draw epsilon1
Lyra,1,33508,2327,draw vega
Lyra,1,33743,2256,draw zeta1
Lyra,1,33902,2001,draw beta
Lyra,1,34168,1961,draw gamma
Lyra,1,34035,2213,draw delta2
Lyra,1,33743,2256,draw zeta1
Lyra,-1,0,0,
Mensa,0,11107,-4485,move alpha
Mensa,2,9956,-4580,dotted gamma
Mensa,2,8855,-4496,dotted eta
Mensa,2,9081,-4278,dotted beta
Mensa,-1,0,0,
Microscopium,0,38422,-2448,move theta1
Microscopium,2,38338,-1930,dotted epsilon
Microscopium,2,37838,-1935,dotted gamma
Microscopium,2,37499,-2026,dotted alpha
Microscopium,-1,0,0,
Monoceros,0,12029,593,move 15
Monoceros,2,11787,439,dotted 13
Monoceros,2,11513,275,dotted epsilon
Monoceros,2,12235,144,dotted 18
Monoceros,2,11787,439,dotted 13
Monoceros,0,12235,144,move 18
Monoceros,2,12955,-29,dotted delta
Monoceros,2,11664,-422,dotted beta
Monoceros,1,11245,-376,draw gamma
Monoceros,0,12955,-29,move delta
Monoceros,2,13837,-573,dotted alpha
Monoceros,2,14657,-179,dotted zeta
Monoceros,-1,0,0,
Musca,0,21168,-4003,move lambda
Musca,1,22127,-4077,draw epsilon
Musca,1,22715,-4148,draw alpha
Musca,1,22574,-4327,draw gamma
Musca,1,23468,-4292,draw delta
Musca,1,22988,-4086,draw beta
Musca,-1,0,0,
Norma,0,29615,-2853,move epsilon
Norma,1,29310,-3004,draw gamma1
Norma,1,29395,-3009,draw gamma2
Norma,1,28896,-2953,draw eta
Norma,1,28994,-2710,draw delta
Norma,1,29615,-2853,draw epsilon
Norma,-1,0,0,
Octans,0,26007,-5020,move delta
Octans,1,39044,-4643,draw nu
Octans,1,40200,-4826,draw epsilon
Octans,1,40981,-4882,draw beta
Octans,1,26007,-5020,draw delta
Octans,-1,0,0,
Ophiuchus,0,31420,-1792,move 45
Ophiuchus,1,31260,-1499,draw theta
Ophiuchus,1,30911,-943,draw eta
Ophiuchus,1,29914,-634,draw zeta
Ophiuchus,1,29734,-996,draw phi
Ophiuchus,1,29610,-1107,draw chi
Ophiuchus,1,29523,-1202,draw psi
Ophiuchus,1,29567,-1406,draw rho
Ophiuchus,0,29914,-634,move zeta
Ophiuchus,1,29634,-502,draw upsilon
Ophiuchus,1,29349,-281,draw epsilon
Ophiuchus,1,29230,-221,draw delta
Ophiuchus,1,29727,119,draw lambda
Ophiuchus,1,30530,562,draw kappa
Ophiuchus,1,29914,-634,draw zeta
Ophiuchus,0,30530,562,move kappa
Ophiuchus,1,31648,753,draw alpha
Ophiuchus,1,31904,274,draw beta
Ophiuchus,1,30911,-943,draw eta
Ophiuchus,0,31904,274,move beta
Ophiuchus,1,32036,162,draw gamma
Ophiuchus,1,32370,-586,draw nu
